,keystroke_idx,time,type,prev_keystrokes
0,0,106,other,
1,1,229,other,
2,2,372,other,
3,3,583,other,
4,4,716,other,
5,5,954,other,
6,6,1082,other,
7,7,1323,other,
8,8,1446,other,
9,9,1660,other,
10,10,1779,other,
11,11,1976,other,
12,12,2085,other,
13,13,2397,other,
14,14,2562,first,0
15,15,2889,other,
16,16,3045,other,
17,17,3173,other,
18,18,3296,other,
19,19,3512,other,
20,20,3640,other,
21,21,3837,other,
22,22,3999,other,
23,23,4218,other,
24,24,4379,other,
25,25,4601,other,
26,26,4741,first,11
27,27,5026,other,
28,28,5143,other,
29,29,5810,first,2
30,30,5993,other,
31,31,6246,other,
32,32,6422,other,
33,33,6526,other,
34,34,6679,other,
35,35,6846,first,5
36,36,7105,other,
37,37,7282,other,
38,38,7517,other,
39,39,7737,other,
40,40,7948,other,
41,41,8140,other,
42,42,8288,first,6
43,43,8492,other,
44,44,8626,other,
45,45,8842,other,
46,46,8979,other,
47,47,9121,other,
48,48,9259,other,
49,49,9440,other,
50,50,9737,other,
51,51,9868,other,
52,52,10066,other,
53,53,10176,other,
54,54,10543,other,
55,55,10658,other,
56,56,10859,first,13
57,57,10977,other,
58,58,11177,other,
59,59,11291,other,
60,60,11505,other,
61,61,11908,first,4
62,62,12017,other,
63,63,12209,other,
64,64,12316,other,
65,65,12497,other,
66,66,12609,other,
67,67,12779,other,
68,68,12916,other,
69,69,13058,other,
70,70,13250,other,
71,71,13531,other,
72,72,13670,other,
73,73,13884,other,
74,74,14035,other,
75,75,14202,first,13
76,76,14373,other,
77,77,14609,other,
78,78,14725,other,
79,79,14907,other,
80,80,15060,other,
81,81,15188,other,
82,82,15379,first,6
83,83,15497,other,
84,84,15688,other,
85,85,15806,other,
86,86,15907,other,
87,87,16031,first,4
88,88,16157,other,
89,89,16362,other,
90,90,16486,other,
91,91,16705,other,
92,92,16815,other,
93,93,16984,other,
94,94,17124,other,
95,95,17251,other,
96,96,17419,first,8
97,97,17598,other,
98,98,17749,other,
99,99,18076,other,
100,100,18216,other,
101,101,18419,other,
102,102,18524,other,
103,103,18702,other,
104,104,18893,other,
105,105,19046,other,
106,106,19303,other,
107,107,19421,other,
108,108,19649,other,
109,109,19782,other,
110,110,19998,other,
111,111,20118,other,
112,112,20349,other,
113,113,20474,other,
114,114,20709,other,
115,115,20817,other,
116,116,21009,first,19
117,117,21122,other,
118,118,21318,other,
119,119,21535,other,
120,120,21699,other,
121,121,21898,other,
122,122,22016,other,
123,123,22220,other,
124,124,22451,other,
125,125,22552,other,
126,126,22778,other,
127,127,22903,other,
128,128,23130,other,
129,129,23242,other,
130,130,23494,other,
131,131,23612,other,
132,132,23717,other,
133,133,23937,other,
134,134,24045,other,
135,135,24269,first,18
136,136,24374,other,
137,137,24581,other,
138,138,24683,other,
139,139,24892,first,3
140,140,24995,other,
141,141,25209,other,
142,142,25364,other,
143,143,25588,other,
144,144,25753,other,
145,145,26081,other,
146,146,26311,first,6
147,147,26431,other,
148,148,26667,other,
149,149,26774,other,
150,150,26969,other,
151,151,27124,other,
152,152,27261,other,
153,153,27365,other,
154,154,27550,other,
155,155,27660,other,
156,156,27850,other,
157,157,27951,other,
158,158,28156,other,
159,159,28264,other,
160,160,28371,other,
161,161,28532,other,
162,162,28674,other,
163,163,28912,other,
164,164,29015,other,
165,165,29187,other,
166,166,29291,other,
167,167,29469,other,
168,168,29574,other,
169,169,29757,first,22
170,170,29885,other,
171,171,30130,other,
172,172,30272,other,
173,173,30413,other,
174,174,30559,other,
175,175,30702,other,
176,176,30837,other,
177,177,30964,other,
178,178,31108,other,
179,179,31230,other,
180,180,31331,other,
181,181,31548,other,
182,182,31649,other,
183,183,31827,other,
184,184,31931,other,
185,185,32105,other,
186,186,32217,other,
187,187,32392,other,
188,188,32538,other,
189,189,32672,other,
190,190,32786,other,
191,191,32985,other,
