,keystroke_idx,time,type,prev_keystrokes
0,0,230,first,0
1,1,404,other,
2,2,858,other,
3,3,1052,other,
4,4,1512,first,3
5,5,1804,first,0
6,6,2084,first,0
7,7,2278,other,
8,8,2767,first,1
9,9,2978,first,0
10,10,3271,other,
11,11,3433,other,
12,12,4039,first,2
13,13,4152,other,
14,14,4261,other,
15,15,4586,other,
16,16,4687,other,
17,17,5201,first,4
18,18,5404,first,0
19,19,5888,other,
20,20,5992,other,
21,21,6115,other,
22,22,6230,other,
23,23,6511,other,
24,24,6714,other,
25,25,6818,other,
26,26,7108,other,
27,27,7309,other,
28,28,7840,first,9
29,29,7942,first,0
30,30,8139,other,
31,31,8493,first,1
32,32,8772,first,0
33,33,9265,other,
34,34,9452,other,
35,35,9897,other,
36,36,9998,other,
37,37,10215,other,
38,38,10537,other,
39,39,10860,first,6
40,40,11232,other,
41,41,11427,first,1
42,42,11897,first,0
43,43,11998,other,
44,44,12105,other,
45,45,12210,other,
46,46,12521,other,
47,47,12734,first,4
48,48,12848,other,
49,49,13120,first,1
50,50,13312,first,0
51,51,13418,other,
52,52,13786,other,
53,53,13890,other,
54,54,13991,other,
55,55,14440,first,4
56,56,14636,first,0
57,57,14743,other,
58,58,15102,first,1
59,59,15211,other,
60,60,15315,other,
61,61,15422,other,
62,62,15992,first,3
63,63,16094,other,
64,64,16313,other,
65,65,16555,other,
66,66,16664,other,
67,67,16770,other,
68,68,16873,other,
69,69,17200,first,6
70,70,17305,other,
71,71,17418,other,
72,72,17809,other,
73,73,17999,other,
74,74,18108,other,
75,75,18443,first,5
76,76,18642,other,
77,77,19044,other,
78,78,19244,other,
79,79,19754,other,
80,80,19859,other,
81,81,19980,other,
82,82,20314,other,
83,83,20506,first,7
84,84,20615,other,
85,85,20996,other,
86,86,21182,other,
87,87,21283,first,3
88,88,21688,first,0
89,89,21886,other,
90,90,22326,first,1
91,91,22524,other,
92,92,23017,first,1
93,93,23265,first,0
94,94,23620,first,0
95,95,23828,other,
96,96,24225,other,
97,97,24424,other,
98,98,24874,first,3
99,99,25052,other,
100,100,25453,other,
101,101,25594,other,
102,102,26009,first,3
103,103,26170,other,
104,104,26534,other,
105,105,26695,other,
106,106,26844,other,
107,107,27152,first,4
108,108,27322,other,
109,109,27816,other,
110,110,28015,other,
111,111,28548,other,
112,112,28716,other,
113,113,29097,other,
114,114,29270,other,
115,115,29758,other,
116,116,29859,other,
117,117,30051,other,
118,118,30451,first,10
119,119,30633,first,0
120,120,31120,other,
121,121,31413,other,
122,122,31849,first,2
123,123,32013,other,
124,124,32624,other,
125,125,32832,other,
126,126,33357,other,
127,127,33534,other,
128,128,34078,first,5
129,129,34261,other,
130,130,34920,first,1
131,131,35461,first,0
132,132,35626,other,
133,133,35786,other,
134,134,36199,other,
135,135,36380,other,
136,136,37044,other,
137,137,37226,other,
138,138,37865,first,6
139,139,38029,first,0
140,140,38928,other,
141,141,39086,other,
142,142,39253,other,
143,143,39680,other,
144,144,39834,other,
145,145,40651,other,
146,146,40819,other,
147,147,41265,first,7
148,148,41440,other,
149,149,42069,first,1
150,150,42243,other,
151,151,42651,other,
152,152,42836,other,
153,153,43360,first,3
154,154,43538,first,0
155,155,44028,first,0
156,156,44216,other,
157,157,44822,first,1
158,158,45008,first,0
159,159,45608,other,
160,160,45787,first,1
161,161,46335,first,0
162,162,46526,other,
163,163,47147,first,1
164,164,47326,other,
165,165,47515,other,
166,166,48003,other,
167,167,48287,other,
168,168,48620,other,
169,169,48806,other,
170,170,49586,first,6
171,171,49766,other,
172,172,50324,first,1
173,173,50425,other,
174,174,51019,other,
175,175,51195,other,
176,176,51868,other,
177,177,52041,other,
178,178,52551,other,
179,179,52720,other,
180,180,53367,first,7
181,181,53542,other,
182,182,54005,first,1
183,183,54172,other,
184,184,54768,first,1
185,185,54950,other,
186,186,55484,first,1
187,187,55697,first,0
188,188,56187,other,
189,189,56367,other,
190,190,56881,first,2
191,191,57650,first,0
192,192,58245,other,
193,193,58409,first,1
194,194,58748,other,
195,195,58898,other,
196,196,59393,first,2
197,197,59662,first,0
198,198,60161,other,
199,199,60329,other,
200,200,60881,first,2
201,201,61035,other,
202,202,61535,other,
203,203,61706,other,
204,204,62296,other,
205,205,62575,other,
206,206,63026,other,
207,207,63176,other,
208,208,63819,first,7
209,209,63972,other,
210,210,64382,first,1
211,211,64535,first,0
212,212,65252,other,
213,213,65400,other,
214,214,65979,first,2
215,215,66128,first,0
216,216,66801,first,0
217,217,67257,other,
218,218,67481,first,1
219,219,67766,first,0
220,220,67911,other,
221,221,68358,other,
222,222,68515,other,
223,223,68898,first,3
224,224,69056,other,
225,225,69611,first,1
226,226,69993,other,
227,227,70157,other,
228,228,70754,other,
229,229,70904,other,
230,230,71403,first,4
231,231,71567,first,0
232,232,72026,other,
233,233,72186,other,
234,234,72740,first,2
235,235,72900,other,
236,236,73208,first,1
237,237,73359,other,
238,238,73774,other,
239,239,73933,other,
240,240,74348,other,
241,241,75005,other,
242,242,75129,other,
243,243,75774,other,
244,244,75892,other,
245,245,76301,other,
246,246,76471,other,
