,keystroke_idx,time,type,prev_keystrokes
0,0,81,first,0
1,1,189,other,
2,2,625,other,
3,3,747,other,
4,4,860,other,
5,5,968,other,
6,6,1373,first,5
7,7,1489,other,
8,8,1597,first,1
9,9,1720,other,
10,10,2240,other,
11,11,2351,other,
12,12,2472,other,
13,13,2591,first,4
14,14,3076,first,0
15,15,3207,other,
16,16,3357,other,
17,17,3459,other,
18,18,4032,other,
19,19,4165,first,4
20,20,4291,other,
21,21,4414,first,1
22,22,5106,first,0
23,23,5229,other,
24,24,5362,other,
25,25,5486,other,
26,26,6235,first,3
27,27,6373,other,
28,28,6490,other,
29,29,6614,first,2
30,30,7277,first,0
31,31,7419,other,
32,32,7548,other,
33,33,7690,first,2
34,34,8388,first,0
35,35,8503,other,
36,36,8625,other,
37,37,8734,other,
38,38,9339,other,
39,39,9464,other,
40,40,9578,other,
41,41,9689,other,
42,42,10297,first,7
43,43,10410,other,
44,44,10556,other,
45,45,10670,other,
46,46,11308,first,3
47,47,11428,other,
48,48,11547,first,1
49,49,11673,other,
50,50,12506,other,
51,51,12625,other,
52,52,12736,other,
53,53,12847,other,
54,54,13600,first,5
55,55,13718,other,
56,56,13833,other,
57,57,13948,other,
58,58,14575,first,3
59,59,14690,first,0
60,60,14821,other,
61,61,14937,other,
62,62,15473,first,2
63,63,15609,other,
64,64,15756,first,1
65,65,15902,other,
66,66,16381,first,1
67,67,16531,other,
68,68,16675,other,
69,69,16804,other,
70,70,17354,first,3
71,71,17509,first,0
72,72,17645,other,
73,73,17800,first,1
74,74,18453,other,
75,75,18576,other,
76,76,18710,first,2
77,77,18843,other,
78,78,19572,other,
79,79,19694,other,
80,80,19851,first,3
81,81,19956,other,
82,82,20426,first,1
83,83,20532,other,
84,84,20759,other,
85,85,21129,first,2
86,86,21409,other,
87,87,21520,other,
88,88,21644,other,
89,89,22161,other,
90,90,22279,other,
91,91,22398,other,
92,92,22501,other,
93,93,23124,other,
94,94,23273,other,
95,95,23417,first,9
96,96,23543,other,
97,97,24210,first,1
98,98,24341,other,
99,99,24456,first,1
100,100,24570,other,
101,101,25174,first,1
102,102,25309,other,
103,103,25429,other,
104,104,25541,other,
105,105,26079,first,3
106,106,26208,first,0
107,107,26342,other,
108,108,26465,first,1
109,109,27253,other,
110,110,27400,first,1
111,111,27522,other,
112,112,27647,other,
113,113,28291,other,
114,114,28430,first,3
115,115,28537,other,
116,116,28656,other,
117,117,29501,first,2
118,118,29624,other,
119,119,29780,first,1
120,120,29895,other,
121,121,30607,other,
122,122,30730,other,
123,123,30842,other,
124,124,30956,other,
125,125,31798,other,
126,126,31928,other,
127,127,32046,other,
128,128,32192,other,
129,129,32742,other,
130,130,32855,other,
131,131,32963,other,
132,132,33105,other,
133,133,33719,first,13
134,134,33839,other,
135,135,33945,other,
136,136,34990,first,2
137,137,35111,other,
138,138,35262,other,
139,139,35394,other,
140,140,36266,other,
141,141,36380,other,
142,142,36541,other,
143,143,36667,other,
144,144,37714,first,7
145,145,37832,other,
146,146,37948,first,1
147,147,38066,other,
148,148,38987,first,1
149,149,39091,other,
150,150,39196,other,
151,151,40275,first,2
152,152,40376,other,
153,153,40485,other,
154,154,41104,first,2
155,155,41230,other,
156,156,41472,other,
157,157,42012,other,
158,158,42115,other,
159,159,42228,other,
160,160,42334,other,
161,161,42770,other,
162,162,42882,other,
163,163,43011,other,
164,164,43114,other,
165,165,43651,other,
166,166,43769,other,
167,167,43871,first,12
168,168,43983,other,
169,169,44767,first,1
170,170,44882,first,0
171,171,44993,other,
172,172,45106,other,
173,173,45683,other,
174,174,45806,other,
175,175,45930,other,
176,176,46051,other,
177,177,46720,other,
178,178,46832,other,
179,179,46992,other,
180,180,47101,other,
181,181,48332,other,
182,182,48443,other,
183,183,48555,other,
184,184,49703,other,
185,185,49962,other,
186,186,50096,other,
187,187,50200,other,
188,188,50917,other,
189,189,51030,other,
190,190,51151,other,
191,191,51261,other,
192,192,52133,other,
193,193,52240,other,
194,194,52372,other,
195,195,52481,other,
196,196,53259,other,
197,197,53372,other,
198,198,53484,other,
199,199,53592,other,
200,200,54364,other,
201,201,54470,other,
202,202,54589,other,
203,203,55138,other,
204,204,55246,other,
205,205,55360,other,
206,206,55469,other,
207,207,56020,other,
208,208,56134,other,
209,209,56286,other,
210,210,56389,other,
211,211,56926,other,
212,212,57126,other,
213,213,57231,other,
214,214,57958,other,
215,215,58187,other,
216,216,58302,other,
217,217,58905,other,
218,218,59028,other,
219,219,59176,other,
220,220,59306,other,
221,221,60074,other,
222,222,60207,other,
223,223,60390,other,
224,224,61378,other,
225,225,61480,other,
226,226,61598,other,
227,227,62484,other,
228,228,62593,other,
229,229,62699,other,
230,230,62812,other,
231,231,63886,other,
232,232,64002,other,
233,233,64110,other,
234,234,64212,other,
235,235,65112,other,
236,236,65219,other,
237,237,65357,other,
238,238,65471,other,
239,239,66220,other,
240,240,66330,other,
241,241,66463,other,
242,242,66597,other,
243,243,67454,other,
244,244,67715,other,
245,245,67858,other,
246,246,67986,other,
247,247,68856,other,
248,248,68972,other,
249,249,69116,other,
250,250,69226,other,
251,251,69875,other,
252,252,69976,other,
253,253,70120,other,
254,254,70982,other,
255,255,71185,other,
256,256,72092,other,
257,257,72232,other,
258,258,72340,other,
259,259,72488,other,
260,260,74182,other,
261,261,74288,other,
262,262,74428,other,
263,263,74543,other,
264,264,75757,other,
265,265,75962,other,
266,266,76064,other,
